POA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
POA2048,36,3000,1283,490,3373,1,2395,2.3
POA2049,35,2850,1262,480,3225,1,2284,2.2
POA2050,33,2817,1291,570,3384,1.1,2331,1.9
POA2060,38,3000,1576,580,3700,1,2463,1.9
POA2061,44,3000,1691,600,4008,1,2475,1.7
POA2062,40,3033,1612,580,4078,1,2870,2.2
POA2063,44,4649,1375,740,4650,0.8,3874,2.9
POA2064,37,2772,1202,525,3052,1.1,2420,2.5
POA2065,37,3000,1591,580,3693,1,2743,2.1
POA2066,38,3000,1378,520,3560,1,2754,2.5
POA2067,38,3000,944,580,2489,1.1,2185,2.5
POA2068,42,3900,1233,640,4047,0.9,3232,2.8
POA2069,41,3800,1205,633,3795,0.9,3310,2.9
POA2070,41,3500,1164,630,3455,0.9,2970,2.8
POA2071,42,3467,1071,650,3247,0.9,2839,2.9
POA2072,39,3033,1075,577,2924,1,2460,2.7
POA2073,41,3500,1188,650,3810,0.8,3414,3
POA2074,44,3500,1084,617,3501,0.8,3004,2.8
POA2075,43,3500,1070,700,3314,0.8,2965,2.9
POA2076,43,3250,1015,600,3360,0.8,2923,2.9
POA2077,38,2350,947,460,2426,1,2108,2.6
POA2079,40,2544,1032,525,2805,0.9,2505,2.9
POA2080,42,2648,961,568,2643,0.8,2428,3
POA2081,41,2600,975,575,2986,0.8,2698,3
POA2082,42,2500,977,580,2804,0.8,2449,2.9
POA2083,51,2290,908,429,2585,0.8,1950,2.3
POA2084,47,3200,1015,600,3184,0.8,2882,3
POA2085,46,3335,932,900,3167,0.8,2770,2.9
POA2086,40,3467,1040,800,3301,0.8,3107,3.2
POA2087,43,3400,975,720,3328,0.8,2794,3
POA2088,45,3870,1487,590,4502,0.9,2892,2.3
POA2089,38,2903,1575,562,3667,1,2469,2
POA2090,41,3153,1527,600,3815,0.9,2537,2.1
POA2092,42,4333,1263,875,4620,0.8,4184,3.1
POA2093,40,3467,1236,600,3658,0.9,2954,2.7
POA2094,39,3467,1491,720,4187,0.9,3251,2.4
POA2095,38,3467,1595,725,4266,1,3164,2.2
POA2096,37,3207,1389,620,3469,1,2901,2.5
POA2097,41,3033,1063,623,3067,0.9,2702,2.8
POA2099,38,2700,1009,550,2604,1,2187,2.5
POA2100,40,3142,1040,600,3092,1,2719,2.9
POA2101,43,3000,1035,600,2827,0.9,2231,2.5
POA2102,41,3077,1060,750,2925,0.9,2598,2.9
POA2103,46,3033,1020,650,2824,0.9,2296,2.6
POA2104,58,3691,876,850,3050,0.7,1885,2.3
POA2105,52,3000,1125,595,3122,0.8,2601,2.5
POA2106,46,3000,1126,600,3054,0.9,2479,2.6
POA2107,47,3297,1045,750,2972,0.8,2627,2.8
POA2108,58,3742,1275,850,3261,0.7,2702,2.3
POA2110,46,4333,1243,540,4584,0.8,3368,2.7
POA2111,40,3000,1198,460,3178,0.9,2315,2.4
POA2112,37,2600,985,472,2509,1,2094,2.5
POA2113,34,2600,1013,480,2661,1.1,2156,2.4
POA2114,37,2480,990,430,2467,1,2089,2.5
POA2115,37,2600,812,420,2317,0.9,1993,2.8
POA2116,37,2500,792,430,2199,0.9,1871,2.8
POA2117,39,2600,757,417,2176,0.9,1861,2.8
POA2118,38,2500,791,500,2181,1,2084,3
POA2119,44,3467,1090,600,3368,0.8,3070,3
POA2120,42,2817,997,520,3025,0.8,2643,2.9
POA2121,37,2612,956,500,2538,1,2304,2.8
POA2122,39,2500,784,460,2248,0.9,1944,2.6
POA2125,43,3033,1032,641,3264,0.8,3078,3.1
POA2126,43,3000,940,695,3098,0.8,2924,3.1
POA2127,33,2300,1160,510,2385,1.2,2084,2.2
POA2128,35,2167,857,450,2055,1.1,1875,2.7
POA2130,36,2708,1317,460,3076,1,2260,2.1
POA2131,36,2210,890,440,2256,1,1888,2.3
POA2132,42,2700,835,480,2526,0.9,2157,2.7
POA2133,41,2522,807,410,2318,0.9,1843,2.7
POA2134,32,2449,707,500,1862,1.1,1671,2.5
POA2135,32,2765,815,480,2423,1.1,2262,2.8
POA2136,39,2375,827,460,2285,1,1943,2.7
POA2137,41,3000,1055,560,2784,0.9,2377,2.6
POA2138,34,2573,1073,550,2535,1.1,2248,2.4
POA2140,31,2119,913,450,2169,1.2,2042,2.6
POA2141,34,2253,705,468,1825,1.1,1801,2.9
POA2142,31,2000,666,400,1661,1.2,1547,2.8
POA2143,35,2167,594,400,1714,1,1561,3.1
POA2144,31,2000,580,410,1440,1.2,1533,3.3
POA2145,35,2239,849,425,2296,1,2090,2.9
POA2146,36,2167,853,425,2278,1,2116,2.9
POA2147,38,2209,794,390,2211,0.9,1925,2.8
POA2148,35,2142,763,400,1981,0.9,1800,2.9
POA2150,32,2002,970,425,2262,1.2,2055,2.4
POA2151,38,2376,900,420,2344,0.9,1957,2.6
POA2152,39,2300,941,420,2414,0.9,1924,2.5
POA2153,39,2759,979,540,2794,0.9,2496,3
POA2154,42,3000,931,560,2858,0.8,2551,3
POA2155,35,3000,1103,600,3128,0.9,3042,3.3
POA2156,46,3200,940,600,3019,0.7,2756,3.1
POA2157,42,3000,879,525,2612,0.8,2493,3.2
POA2158,45,3074,918,600,2898,0.8,2548,3
POA2159,46,2817,893,480,2727,0.8,2400,2.9
POA2160,33,2051,603,400,1661,1.1,1455,3
POA2161,32,2152,511,380,1493,1.1,1347,3.2
POA2162,34,2167,513,400,1580,1,1404,3.2
POA2163,36,1920,461,250,1271,1,993,2.8
POA2164,38,2167,496,420,1570,1,1401,3.1
POA2165,38,1950,456,400,1337,1.1,1225,3.2
POA2166,39,1733,474,350,1391,1.1,1325,3.2
POA2167,36,2167,844,420,2203,0.9,2070,3
POA2168,35,2000,501,350,1510,1,1387,3.3
POA2170,35,2165,644,395,1799,1,1566,2.9
POA2171,33,2383,786,530,2369,0.9,2379,3.6
POA2172,38,2708,1184,369,3233,0.8,3185,3.2
POA2173,33,2200,1049,500,2642,0.9,2495,3.2
POA2174,31,2800,1008,550,2619,0.9,2562,3.4
POA2175,45,3250,764,428,2337,0.8,2135,3.2
POA2176,41,2167,519,460,1714,0.9,1664,3.3
POA2177,38,2000,513,400,1611,1,1571,3.3
POA2178,43,2200,751,470,2320,0.8,2214,3.4
POA2179,32,2600,918,540,2303,0.8,2224,3.2
POA2190,34,2300,498,420,1651,1,1453,3.4
POA2191,40,2500,672,460,2056,1,1727,2.9
POA2192,38,2156,640,380,1737,1,1456,2.6
POA2193,37,2403,885,470,2316,1,2022,2.5
POA2194,36,2000,652,400,1600,1.2,1497,2.6
POA2195,32,1700,532,350,1298,1.3,1234,3.1
POA2196,35,2167,560,400,1635,1.1,1479,3.1
POA2197,34,2383,533,450,1575,1,1409,3.3
POA2198,36,2500,647,520,1923,0.9,1779,3.2
POA2199,34,2167,524,400,1592,1.1,1438,3.2
POA2200,34,1973,548,410,1490,1.1,1392,3
POA2203,38,2500,1158,470,2774,1,2096,2.2
POA2204,37,2600,1075,480,2711,1,2166,2.3
POA2205,32,2383,960,520,2259,1.2,2117,2.5
POA2206,44,2800,818,550,2464,0.9,2139,2.8
POA2207,40,2421,754,480,2214,1,1938,2.8
POA2208,42,2600,716,500,2167,0.9,1898,2.9
POA2209,40,2300,681,420,2002,0.9,1697,2.8
POA2210,41,2500,714,370,2111,0.9,1691,2.7
POA2211,40,2443,761,470,2261,0.9,1898,2.8
POA2212,38,2500,750,460,2211,0.9,1941,2.9
POA2213,39,2600,843,470,2440,0.8,2116,2.9
POA2214,39,2600,806,538,2326,0.8,2117,3
